Year,Title,Beat,Main Story,Main + Sides,Completionist,Average Playing
2019,Star Wars Jedi: Fallen Order,15300,17,22,31,14.3
2019,Resident Evil 2,12800,9,15,36,22
2019,A Plague Tale: Innocence,9500,11,12,16,13
2019,Persona 5 Royal,8400,101,123,142,56.8
2019,Sekiro: Shadows Die Twice,8100,30,42,69,49.3
2020,Cyberpunk 2077,15400,25,62,105,67.3
2020,Marvel's Spider-Man: Miles Morales,11400,7,12,18,16.8
2020,Hades,11100,23,48,95,29
2020,Final Fantasy VII Remake,11000,32,41,86,25.5
2020,Ghost of Tsushima,9500,25,46,62,23.1
2021,Resident Evil Village,7500,10,13,38,22.3
2021,It Takes Two,6900,11,14,21,19
2021,Marvel's Guardians of the Galaxy,6400,17,20,25,14.2
2021,Ratchet & Clank: Rift Apart,5200,11,14,18,14.5
2021,Unpacking (2021),4200,3,4,4,4.8
2022,Elden Ring,14900,59,100,133,59
2022,Stray,8600,5,6,10,6.1
2022,God of War: Ragnarök,7500,26,40,54,26.4
2022,Horizon Forbidden West,4400,28,62,89,22.6
2022,Vampire Survivors,3500,14,26,49,20.4
2023,Hogwarts Legacy,6900,26,44,70,28.7
2023,Resident Evil 4 (2023),5900,16,21,63,37.7
2023,Baldur's Gate 3,5200,69,112,164,86.9
2023,Final Fantasy XVI,3700,37,58,81,31.1
2023,Star Wars Jedi: Survivor,3600,20,33,54,29.7
