Title,Platform,Players,Main Story,Main + Sides,Completionist,Fastest,Slowest
Disco Elysium,Google Stadia,13,18,33,-,15,45
Disco Elysium,Nintendo Switch,209,23,36,46,15,100
Disco Elysium,PC,4655,24,33,47,9,115
Disco Elysium,PlayStation 4,117,24,38,45,17,73
Disco Elysium,PlayStation 5,319,23,33,51,10,92
Disco Elysium,Xbox One,12,18,33,48,17,54
Metro Exodus,PC,3622,16,24,41,8,106
Metro Exodus,PlayStation 4,413,15,25,40,9,67
Metro Exodus,Xbox One,276,15,26,52,10,89
Metro Exodus,PlayStation 5,219,15,24,35,8,55
Metro Exodus,Xbox Series X/S,166,17,28,54,11,77
Star Wars Jedi: Fallen Order,PC,8380,17,22,32,8,84
Star Wars Jedi: Fallen Order,PlayStation 4,3055,17,23,33,8,90
Star Wars Jedi: Fallen Order,PlayStation 5,1447,17,21,30,8,85
Star Wars Jedi: Fallen Order,Xbox One,1183,18,24,34,8,60
Star Wars Jedi: Fallen Order,Xbox Series X/S,969,18,24,35,9,82
Star Wars Jedi: Fallen Order,Google Stadia,80,20,25,37,10,54
Resident Evil 2,PC,7567,9,16,39,2,104
Resident Evil 2,PlayStation 4,3047,9,16,36,2,89
Resident Evil 2,PlayStation 5,856,9,15,34,2,83
Resident Evil 2,Xbox One,660,9,15,30,3,57
Resident Evil 2,Xbox Series X/S,463,10,16,37,4,82
Sekiro: Shadows Die Twice,PC,5574,29,42,70,7,259
Sekiro: Shadows Die Twice,PlayStation 4,1845,31,48,77,7,180
Sekiro: Shadows Die Twice,Xbox One,273,30,48,83,6,203
A Plague Tale: Innocence,PC,6317,11,13,16,6,43
A Plague Tale: Innocence,PlayStation 5,1059,11,12,16,6,40
A Plague Tale: Innocence,PlayStation 4,733,12,13,17,7,27
A Plague Tale: Innocence,Xbox One,659,12,14,18,7,36
A Plague Tale: Innocence,Xbox Series X/S,647,12,15,17,7,30
Persona 5 Royal,PlayStation 4,4395,106,128,149,45,390
Persona 5 Royal,PC,1944,95,118,137,46,351
Persona 5 Royal,Nintendo Switch,804,105,129,166,55,350
Persona 5 Royal,PlayStation 5,762,102,124,137,52,289
Persona 5 Royal,Xbox Series X/S,301,95,118,140,47,300
Persona 5 Royal,Xbox One,79,102,127,144,55,227
Outer Wilds,PC,3596,17,23,29,7,76
Outer Wilds,PlayStation 4,328,16,23,26,10,55
Outer Wilds,PlayStation 5,258,16,22,28,7,51
Outer Wilds,Xbox One,221,16,24,33,9,70
Outer Wilds,Xbox Series X/S,154,17,25,36,8,53
Outer Wilds,Nintendo Switch,26,20,26,26,15,36
Slay the Spire,PC,2473,13,53,198,1,472
Slay the Spire,Nintendo Switch,339,13,56,263,2,500
Slay the Spire,PlayStation 4,145,13,56,180,2,402
Slay the Spire,Mobile,105,13,52,230,1,300
Slay the Spire,Xbox One,92,11,42,152,3,184
Baba Is You (2019),PC,611,7,22,48,2,203
Baba Is You (2019),Nintendo Switch,155,9,20,49,3,71
Baba Is You (2019),Mobile,18,8,22,62,5,75
Borderlands 3,PC,3491,23,49,91,11,498
Borderlands 3,PlayStation 4,725,25,48,721,11,250
Borderlands 3,Xbox One,286,24,47,74,12,140
Borderlands 3,PlayStation 5,267,25,46,63,14,113
Borderlands 3,Xbox Series X/S,150,23,52,137,13,307
Borderlands 3,Google Stadia,19,29,66,133,25,158
Cyberpunk 2077,PC,11073,27,65,112,10,507
Cyberpunk 2077,PlayStation 5,1666,26,62,103,12,300
Cyberpunk 2077,Xbox Series X/S,921,27,64,105,12,235
Cyberpunk 2077,PlayStation 4,831,24,63,107,12,315
Cyberpunk 2077,Xbox One,295,25,64,124,14,456
Cyberpunk 2077,Google Stadia,135,27,60,124,13,221
Hades,PC,7630,24,51,98,3,542
Hades,Nintendo Switch,2226,25,55,117,4,315
Hades,PlayStation 5,430,25,46,81,4,133
Hades,Xbox Series X/S,368,24,53,94,8,209
Hades,PlayStation 4,178,25,48,109,17,328
Hades,Xbox One,137,25,46,114,7,233
Doom Eternal,PC,5655,14,21,29,5,136
Doom Eternal,PlayStation 4,816,15,21,36,4,162
Doom Eternal,Xbox One,454,15,20,30,8,113
Doom Eternal,Xbox Series X/S,376,16,25,33,7,70
Doom Eternal,PlayStation 5,344,14,22,27,7,59
Doom Eternal,Nintendo Switch,89,16,31,39,10,81
Doom Eternal,Google Stadia,21,13,28,37,9,66
Control: Ultimate Edition,PC,3161,13,27,41,5,86
Control: Ultimate Edition,PlayStation 5,1051,13,23,36,6,70
Control: Ultimate Edition,PlayStation 4,377,15,29,37,10,63
Control: Ultimate Edition,Xbox Series X/S,311,13,28,41,6,78
Control: Ultimate Edition,Xbox One,53,14,41,59,10,79
Control: Ultimate Edition,Google Stadia,11,12,25,46,9,58
Control: Ultimate Edition,Nintendo Switch,11,15,26,41,12,43
Black Mesa,PC,4050,15,18,27,6,77
Marvel's Spider-Man: Miles Morales,PlayStation 5,6876,8,13,19,3,46
Marvel's Spider-Man: Miles Morales,PC,2435,8,13,19,4,59
Marvel's Spider-Man: Miles Morales,PlayStation 4,2040,8,13,19,4,41
Final Fantasy VII Remake,PlayStation 4,6070,34,43,89,17,190
Final Fantasy VII Remake,PlayStation 5,2840,31,41,86,17,188
Final Fantasy VII Remake,PC,1956,32,40,79,17,135
Ghost of Tsushima,PlayStation 4,4880,26,47,64,9,186
Ghost of Tsushima,PlayStation 5,3538,25,46,63,7,185
Ghost of Tsushima,PC,931,25,48,68,7,179
Half-Life: Alyx,PC,1432,13,15,21,6,41
ULTRAKILL,PC,494,6,15,48,2,140
Ori and the Will of the Wisps,PC,4508,12,16,18,6,55
Ori and the Will of the Wisps,Nintendo Switch,685,13,16,19,7,55
Ori and the Will of the Wisps,Xbox One,610,12,17,21,8,55
Ori and the Will of the Wisps,Xbox Series X/S,459,13,18,19,7,36
Yakuza: Like a Dragon,PC,2065,45,70,107,18,286
Yakuza: Like a Dragon,PlayStation 5,745,45,66,99,27,194
Yakuza: Like a Dragon,PlayStation 4,665,47,71,105,18,185
Yakuza: Like a Dragon,Xbox Series X/S,511,46,68,113,16,259
