Year,Title,Score,Main Story,Main + Sides,Completionist,Average Playing
2019,Persona 5 Royal,94,101,123,142,56.8
2019,Sekiro: Shadows Die Twice,91,30,42,69,49.3
2019,Disco Elysium,90,23,33,46,13.1
2019,Outer Wilds,90,17,22,27,12.4
2019,The Walking Dead: The Telltale Definitive Series,88,42,49,50,18
2020,Half-Life: Alyx,94,12,14,19,12.6
2020,ULTRAKILL,90,5,13,44,15.9
2020,Ori and the Will of the Wisps,89,12,15,18,13.6
2020,Hades,89,23,48,95,29
2020,Yakuza: Like a Dragon,88,45,67,103,29
2021,Mass Effect Legendary Edition,91,60,102,141,39.1
2021,The Chronicles Of Myrtana: Archolos,90,58,86,125,94.7
2021,The Great Ace Attorney Chronicles,89,66,75,80,35.6
2021,It Takes Two,89,11,14,21,19
2021,The Legend of Heroes: Trails through Daybreak,87,54,87,110,39.6
2022,Elden Ring,93,59,100,133,59
2022,The Last of Us Part I,92,14,17,23,12.9
2022,Moss: Book II,90,6,6,7,4.4
2022,God of War: Ragnarök,90,26,40,54,26.4
2022,Uncharted: Legacy of Thieves Collection,87,20,25,52,20.7
2023,Baldur's Gate 3,93,69,112,164,86.9
2023,Resident Evil 4 (2023),91,16,21,63,37.7
2023,The Talos Principle II,89,19,30,36,22.4
2023,Pizza Tower,88,6,11,44,15.1
2023,Octopath Traveler II,87,60,83,94,38.4
